Date,Open ,High,Low ,Close_Price,Active_Adresses,Age_Destroyed,Network_Profit_Loss,NVT_Ratio,Realized_Value,Token_Age_Consumed,Token_Circulation,Velocity,Whale_Transaction_Count_100K,Exchange_Balance,Dev_Activity,Mean_Age,Mean_Dollar_Invested,Exchange_Percentage_Of_Supply,Exchange_In_Out_Flow,Exchange_Inflow,Exchange_Outflow,Transaction_Volume,Transaction_Volume_Loss,Transaction_Volume_Profit,Transaction_Volume_Profit_Loss,MVRV_Ratio,HoldersDistr_0.001_0.01,HoldersDistr_0.01_0.1,HoldersDistr_0.1_1,HoldersDistr_1_10,HoldersDistr_10_100,HoldersDistr_100_1K,HoldersDistr_1K_10K,HoldersDistr_10K_100K,HoldersDistr_100K_1M,HoldersDistr_Total
2013-04-28,135.3,135.98,132.1,134.21,118017,3088331.326,1578431.768,72.90148975,490758736.5,3088331.326,11091241.56,3.385165439,168,-6779.833453,13,433.7003182,46.41920551,2.265919254,-6779.833453,45149.59424,51929.4277,515019.4838,114472.561,84296.84802,0.736393484,2.971279966,189481,186366,103351,100748,82188,10036,1242,99,1,1586121
2013-04-29,134.444,147.488,134,141.96,86925,5548975.889,5448964.002,49.77314698,496829280.3,5548975.889,11095591.56,3.818161582,257,-16831.28301,24,434.0299866,46.36014063,2.11333748,-16831.28301,94538.87172,111370.1547,851156.9793,158181.4958,351775.6851,2.223873807,3.076918408,189871,186839,104642,101703,82434,10090,1257,97,1,1591308
2013-04-30,134.5,140.609,134.05,139,76871,3708741.742,3281980.015,50.33107985,500658674.2,3708741.742,11099316.56,2.671813241,150,-14322.59939,21,434.5500158,46.61261847,1.983587859,-14322.59939,56112.05554,70434.65493,589204.5441,110373.1867,177081.312,1.604387055,3.107661292,190181,185811,104408,101896,82608,10075,1274,95,1,1592744
2013-05-01,139,139.89,107.72,116.99,83565,7794606.754,-2791698.064,28.78458671,498349828.3,7794606.754,11103091.56,2.263694673,161,22299.43452,11,434.7000792,47.1696329,2.183753317,22299.43452,93334.52253,71035.08801,873175.9633,537399.0641,212498.0583,0.39541948,2.844786486,190672,186588,105997,103572,82675,10074,1271,94,1,1598892
2013-05-02,116.38,125.6,92.2819,105.21,81920,5484252.012,-3197558.12,37.07187557,495525461.6,5484252.012,11106441.56,2.69462801,91,5511.002188,15,435.0750157,47.89292839,2.232714511,5511.002188,87646.95246,82135.95027,807289.3015,375896.1256,238520.5888,0.634538567,2.496485746,191342,187163,105942,103389,82731,10078,1267,94,1,1601953
2013-05-03,106.25,108.128,79.1,97.75,82369,15926025.05,-2919663.882,34.70786975,492931009.4,15926025.05,11109841.56,2.123982528,40,-24578.02301,52,434.5082159,48.5422709,2.010803738,-24578.02301,104314.8169,128892.8399,679877.7781,388390.867,187698.7401,0.483272796,2.107791543,191904,187841,105542,103462,82816,10026,1283,94,1,1604566
2013-05-04,98.1,115,92.5,112.5,70375,1952512.619,348039.0478,70.78115347,493695867.9,1952512.619,11113841.56,2.617586566,24,253.9892186,25,435.1759776,49.27466157,2.012365368,253.9892186,43442.27696,43188.28774,411005.4859,146465.9943,208424.1709,1.423020899,2.355624066,191027,188999,106471,103927,82876,10029,1285,94,1,1609429
2013-05-05,112.9,118.8,107.143,115.91,72102,4659420.212,1809960.847,74.82777276,496000177.7,4659420.212,11117966.56,3.435942472,43,3927.236713,8,435.5952248,49.81835282,2.046942074,3927.236713,44231.88053,40304.64381,510514.9079,152844.836,211638.9216,1.384665176,2.552367585,191366,189664,107280,103910,82958,9982,1286,94,1,1613630
2013-05-06,115.98,124.663,106.64,112.3,85164,3165310.632,1985868.028,55.99332355,498491796.4,3165310.632,11122116.56,3.765094777,117,-7587.492853,7,436.1479065,50.277298,1.977958433,-7587.492853,51892.34961,59479.84247,747871.7162,222478.8626,316651.9719,1.423290142,2.636735918,191992,188450,107136,104275,83067,9941,1288,93,1,1616213
2013-05-07,112.25,113.444,97.7,111.5,109067,4152903.563,-302586.7385,62.72993683,498642271.1,4152903.563,11126316.56,4.894180956,61,5523.819395,18,436.6098283,50.97951018,2.026858221,5523.819395,58589.36758,53065.54818,868073.6724,278947.1008,229906.3864,0.824193497,2.407845179,192362,189088,108143,104516,82946,9972,1286,93,1,1625639
